height,age,low_ci,up_ci
2100.0,1078.2054463741017,1066.1834102011185,1085.977149830406
2110.0,1078.124057628204,1066.0509839335198,1085.9590009011074
2120.0,1078.04048379825,1065.8963279288164,1085.9470600076243
2130.0,1077.9585477074957,1065.7406567434887,1085.933887232221
2140.0,1077.8762891578112,1065.590201052028,1085.914871645235
2150.0,1077.7964969181287,1065.4655639463836,1085.9017041403838
2160.0,1077.7144846021,1065.3580211884655,1085.8824790252918
2170.0,1077.632998959766,1065.2260761577586,1085.8666359117472
2180.0,1077.549550670192,1065.1400412114986,1085.8565707445339
2190.0,1077.4691519953242,1065.020184349675,1085.8416211811696
2200.0,1077.39330904688,1064.9385157272093,1085.8257136494651
2210.0,1077.3152841945873,1064.8031368727081,1085.8080515747943
2220.0,1077.2344083486787,1064.6243644099156,1085.7841710340629
2230.0,1077.151178737753,1064.4500337700345,1085.7711030637538
2240.0,1077.0733610373024,1064.3210677787827,1085.754895945619
2250.0,1076.999380396263,1064.187726422549,1085.7410844778149
2260.0,1076.9181152379283,1064.0224573484297,1085.724126796768
2270.0,1076.8301925876938,1063.9025938026557,1085.695699695062
2280.0,1076.7481190204257,1063.7750805830915,1085.6779515303222
2290.0,1076.6722753887755,1063.68009559764,1085.6639316525118
2300.0,1076.5919363121602,1063.5627187784035,1085.653287152313
2310.0,1076.5139757580962,1063.4378910558337,1085.6288187502805
2320.0,1076.429089244631,1063.3105833849008,1085.6124507248092
2330.0,1076.3514452257257,1063.1731912088005,1085.5887364297969
2340.0,1076.2728159277322,1063.0366568502548,1085.573269209805
2350.0,1076.195150972903,1062.9298943372132,1085.5531563297773
2360.0,1076.112089872329,1062.811117539349,1085.5350603517543
2370.0,1076.0326956642903,1062.7219270222392,1085.5181981837054
2380.0,1075.952262130766,1062.5926104220318,1085.503074604448
2390.0,1075.875420848599,1062.5114470985425,1085.4882375536174
2400.0,1075.7938794665954,1062.4003338570242,1085.4625166356088
2410.0,1075.7122581431324,1062.2741183313058,1085.4363250850665
2420.0,1075.6332762566112,1062.1698552135636,1085.4191922705897
2430.0,1075.5537436526747,1062.0549494951042,1085.396432948092
2440.0,1075.470142827161,1061.956874187121,1085.3740411381814
2450.0,1075.3871439437646,1061.8818199447908,1085.3508936543608
2460.0,1075.3098321163425,1061.791897138754,1085.3266458845465
2470.0,1075.2256880368477,1061.6792657425003,1085.3049763392964
2480.0,1075.1475677336362,1061.5525114716013,1085.2891786160553
2490.0,1075.066262692078,1061.4330283582294,1085.2694559891418
2500.0,1074.9821148380706,1061.2996071565324,1085.2507207619346
2510.0,1074.899393480844,1061.204289402622,1085.229768477774
2520.0,1074.8227785354488,1061.116999011296,1085.2112002541064
2530.0,1074.7456487795832,1061.0075257860765,1085.1828121210383
2540.0,1074.6622775878943,1060.8947580656466,1085.1508760341383
2550.0,1074.585356085093,1060.805579632396,1085.1304146982718
2560.0,1074.4982397367899,1060.69268929362,1085.1086274103004
2570.0,1074.4208807812656,1060.582490753047,1085.0865892784122
2580.0,1074.3357315421806,1060.4629369158692,1085.0518330038
2590.0,1074.2550380145785,1060.359706959866,1085.0271859751101
2600.0,1074.1759197271151,1060.2653848178313,1084.9981460445163
2610.0,1074.0948115792626,1060.1273962015437,1084.97048317724
2620.0,1074.0128296243954,1060.0100342426715,1084.939798172403
2630.0,1073.9374597006101,1059.942616478906,1084.9059841414785
2640.0,1073.85940771577,1059.8185441839507,1084.8790184287284
2650.0,1073.7777198236263,1059.6928995591534,1084.8483734337394
2660.0,1073.6982500875013,1059.606167092151,1084.8297647019692
2670.0,1073.6215297196109,1059.4757737433144,1084.8089946809764
2680.0,1073.540794618994,1059.3640320611923,1084.7808654052576
2690.0,1073.4567222928958,1059.2414258700844,1084.7501572636997
2700.0,1073.379201810848,1059.1440199553772,1084.7235094240277
2710.0,1073.2977879756427,1059.0379132616101,1084.6843441610433
2720.0,1073.2196691301774,1058.9554873819131,1084.6526356898355
2730.0,1073.1398721002624,1058.837822724138,1084.619248083402
2740.0,1073.0558971091002,1058.7216655872107,1084.5983038074237
2750.0,1072.9759748013994,1058.6647242243619,1084.5592156295913
2760.0,1072.8969715503426,1058.5883764998027,1084.5215705143908
2770.0,1072.8167021817308,1058.4795749244627,1084.480892241955
2780.0,1072.733566070012,1058.3971282402351,1084.4481416446806
2790.0,1072.652135874148,1058.3239133697398,1084.4214997729687
