tab 	specimens
citations	dir_comp	dir_dang	dir_dec	dir_inc	dir_mad_free	dir_n_comps	dir_n_measurements	dir_tilt_correction	experiments	geologic_classes	geologic_types	instrument_codes	int_corr	lithologies	meas_step_max	meas_step_min	meas_step_unit	method_codes	result_quality	sample	software_packages	specimen
This study	HT	0.0	251.1	30.2	5.0	2	11	0.0	BRa.15a:LP-DIR-T	Sedimentary	Sediment Layer	hargrave 2018-11-14 02:42:21	u	Sandstone	960.0	933.0	K	LP-DIR-T:DE-BFL-A:DA-DIR-GEO	g	BRa.15	pmagpy-4.2.113: demag_gui	BRa.15a
This study	MT	2.7	255.6	-26.7	3.6	2	18	100.0	BRa.15a:LP-DIR-T	Sedimentary	Sediment Layer	hargrave 2018-11-14 02:42:21	u	Sandstone	923.0	573.0	K	LP-DIR-T:DE-BFL:DA-DIR-TILT	g	BRa.15	pmagpy-4.2.113: demag_gui	BRa.15a
This study	HT	0.0	255.2	-22.6	5.0	2	11	100.0	BRa.15a:LP-DIR-T	Sedimentary	Sediment Layer	hargrave 2018-11-14 02:42:21	u	Sandstone	960.0	933.0	K	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g	BRa.15	pmagpy-4.2.113: demag_gui	BRa.15a
This study	HT	0.0	237.7	45.4	5.5	2	3	0.0	BRa.16a:LP-DIR-T	Sedimentary	Sediment Layer	hargrave 2018-11-14 02:43:32	u	Sandstone	962.0	958.0	K	LP-DIR-T:DE-BFL-A:DA-DIR-GEO	g	BRa.16	pmagpy-4.2.113: demag_gui	BRa.16a
This study	MT	5.6	263.4	36.7	4.0	2	18	0.0	BRa.16a:LP-DIR-T	Sedimentary	Sediment Layer	hargrave 2018-11-14 02:43:32	u	Sandstone	923.0	573.0	K	LP-DIR-T:DE-BFL:DA-DIR-GEO	g	BRa.16	pmagpy-4.2.113: demag_gui	BRa.16a
This study	HT	0.0	262.1	-5.3	5.5	2	3	100.0	BRa.16a:LP-DIR-T	Sedimentary	Sediment Layer	hargrave 2018-11-14 02:43:32	u	Sandstone	962.0	958.0	K	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g	BRa.16	pmagpy-4.2.113: demag_gui	BRa.16a
This study	MT	5.6	268.1	-25.6	4.0	2	18	100.0	BRa.16a:LP-DIR-T	Sedimentary	Sediment Layer	hargrave 2018-11-14 02:43:32	u	Sandstone	923.0	573.0	K	LP-DIR-T:DE-BFL:DA-DIR-TILT	g	BRa.16	pmagpy-4.2.113: demag_gui	BRa.16a
This study	MT	6.7	254.7	33.7	4.5	2	18	0.0	BRa.17a:LP-DIR-T	Sedimentary	Sediment Layer	hargrave 2018-11-14 02:44:47	u	Sandstone	923.0	573.0	K	LP-DIR-T:DE-BFL:DA-DIR-GEO	g	BRa.17	pmagpy-4.2.113: demag_gui	BRa.17a
This study	HT	0.0	236.2	25.7	5.5	2	12	0.0	BRa.17a:LP-DIR-T	Sedimentary	Sediment Layer	hargrave 2018-11-14 02:44:47	u	Sandstone	962.0	933.0	K	LP-DIR-T:DE-BFL-A:DA-DIR-GEO	g	BRa.17	pmagpy-4.2.113: demag_gui	BRa.17a
This study	MT	6.7	260.3	-22.7	4.5	2	18	100.0	BRa.17a:LP-DIR-T	Sedimentary	Sediment Layer	hargrave 2018-11-14 02:44:47	u	Sandstone	923.0	573.0	K	LP-DIR-T:DE-BFL:DA-DIR-TILT	g	BRa.17	pmagpy-4.2.113: demag_gui	BRa.17a
This study	HT	0.0	244.0	-13.8	5.5	2	12	100.0	BRa.17a:LP-DIR-T	Sedimentary	Sediment Layer	hargrave 2018-11-14 02:44:47	u	Sandstone	962.0	933.0	K	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g	BRa.17	pmagpy-4.2.113: demag_gui	BRa.17a
This study	MT	15.6	244.6	28.9	13.4	2	17	0.0	BRa.18a:LP-DIR-T	Sedimentary	Sediment Layer	hargrave 2018-11-14 01:43:03	u	Sandstone	923.0	573.0	K	LP-DIR-T:DE-BFL:DA-DIR-GEO	g	BRa.18	pmagpy-4.2.113: demag_gui	BRa.18a
This study	HT	0.0	220.2	27.9	2.6	2	12	0.0	BRa.18a:LP-DIR-T	Sedimentary	Sediment Layer	hargrave 2018-11-14 01:43:03	u	Sandstone	962.0	933.0	K	LP-DIR-T:DE-BFL-A:DA-DIR-GEO	g	BRa.18	pmagpy-4.2.113: demag_gui	BRa.18a
This study	MT	15.6	250.7	-18.7	13.4	2	17	100.0	BRa.18a:LP-DIR-T	Sedimentary	Sediment Layer	hargrave 2018-11-14 01:43:03	u	Sandstone	923.0	573.0	K	LP-DIR-T:DE-BFL:DA-DIR-TILT	g	BRa.18	pmagpy-4.2.113: demag_gui	BRa.18a
This study	HT	0.0	240.4	0.2	2.6	2	12	100.0	BRa.18a:LP-DIR-T	Sedimentary	Sediment Layer	hargrave 2018-11-14 01:43:03	u	Sandstone	962.0	933.0	K	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g	BRa.18	pmagpy-4.2.113: demag_gui	BRa.18a
This study	HT	0.0	234.5	41.9	1.2	2	5	0.0	BRa.19a:LP-DIR-T	Sedimentary	Sediment Layer	hargrave 2018-11-14 01:44:18	u	Sandstone	962.0	954.0	K	LP-DIR-T:DE-BFL-A:DA-DIR-GEO	g	BRa.19	pmagpy-4.2.113: demag_gui	BRa.19a
This study	MT	12.0	252.4	32.4	5.6	2	17	0.0	BRa.19a:LP-DIR-T	Sedimentary	Sediment Layer	hargrave 2018-11-14 01:44:18	u	Sandstone	923.0	573.0	K	LP-DIR-T:DE-BFL:DA-DIR-GEO	g	BRa.19	pmagpy-4.2.113: demag_gui	BRa.19a
This study	HT	0.0	257.9	-5.0	1.2	2	5	100.0	BRa.19a:LP-DIR-T	Sedimentary	Sediment Layer	hargrave 2018-11-14 01:44:18	u	Sandstone	962.0	954.0	K	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g	BRa.19	pmagpy-4.2.113: demag_gui	BRa.19a
