tab 	samples
azimuth	azimuth_dec_correction	bed_dip	bed_dip_direction	citations	dip	geologic_classes	geologic_types	height	lithologies	method_codes	sample	site
335.9	0.0	73.1	301.2	This study	-18	Sedimentary	Sediment Layer	2.42	Sandstone	SO-CMD-NORTH	BRb.27	BRb
6.4	0.0	73.1	301.2	This study	-15	Sedimentary	Sediment Layer	2.42	Sandstone	SO-CMD-NORTH	BRb.28	BRb
335.9	0.0	73.1	301.2	This study	-10	Sedimentary	Sediment Layer	2.42	Sandstone	SO-CMD-NORTH	BRb.29	BRb
341.9	0.0	73.1	301.2	This study	-18	Sedimentary	Sediment Layer	2.17	Sandstone	SO-CMD-NORTH	BRb.30	BRb
76.4	0.0	73.1	301.2	This study	-15	Sedimentary	Sediment Layer	12.7	Sandstone	SO-CMD-NORTH	BRb.31	BRb
317.9	0.0	73.1	301.2	This study	-29	Sedimentary	Sediment Layer	12.15	Sandstone	SO-CMD-NORTH	BRb.32	BRb
333.8	0.0	73.1	301.2	This study	-18	Sedimentary	Sediment Layer	18.6	Sandstone	SO-CMD-NORTH	BRb.33	BRb
262.3	0.0	73.1	301.2	This study	-17	Sedimentary	Sediment Layer	19.57	Sandstone	SO-CMD-NORTH	BRb.34	BRb
298.2	0.0	73.1	301.2	This study	-15	Sedimentary	Sediment Layer	20.27	Sandstone	SO-CMD-NORTH	BRb.35	BRb
229.9	0.0	73.1	301.2	This study	-26	Sedimentary	Sediment Layer	20.37	Sandstone	SO-CMD-NORTH	BRb.36	BRb
125.9	0.0	73.1	301.2	This study	-70	Sedimentary	Sediment Layer	50.3	Sandstone	SO-CMD-NORTH	BRb.37	BRb
137.9	0.0	73.1	301.2	This study	-45	Sedimentary	Sediment Layer	50.3	Sandstone	SO-CMD-NORTH	BRb.39	BRb
193.9	0.0	73.1	301.2	This study	-72	Sedimentary	Sediment Layer	54.48	Sandstone	SO-CMD-NORTH	BRb.40	BRb
198.9	0.0	73.1	301.2	This study	-62	Sedimentary	Sediment Layer	54.48	Sandstone	SO-CMD-NORTH	BRb.41	BRb
232.9	0.0	73.1	301.2	This study	-26	Sedimentary	Sediment Layer	61.3	Sandstone	SO-CMD-NORTH	BRb.42	BRb
199.9	0.0	73.1	301.2	This study	-104	Sedimentary	Sediment Layer	61.43	Sandstone	SO-CMD-NORTH	BRb.43	BRb
197.9	0.0	73.1	301.2	This study	-22	Sedimentary	Sediment Layer	64.23	Sandstone	SO-CMD-NORTH	BRb.44	BRb
243.9	0.0	73.1	301.2	This study	-38	Sedimentary	Sediment Layer	65.2	Sandstone	SO-CMD-NORTH	BRb.45	BRb
205.9	0.0	73.1	301.2	This study	-9	Sedimentary	Sediment Layer	67.04	Sandstone	SO-CMD-NORTH	BRb.46	BRb
223.9	0.0	73.1	301.2	This study	-17	Sedimentary	Sediment Layer	69.2	Sandstone	SO-CMD-NORTH	BRb.47	BRb
183.9	0.0	73.1	301.2	This study	-82	Sedimentary	Sediment Layer	69.2	Sandstone	SO-CMD-NORTH	BRb.48	BRb
208.9	0.0	73.1	301.2	This study	-105	Sedimentary	Sediment Layer	117.83	Sandstone	SO-CMD-NORTH	BRb.49	BRb
179.9	0.0	73.1	301.2	This study	-23	Sedimentary	Sediment Layer	119.35	Sandstone	SO-CMD-NORTH	BRb.51	BRb
112.9	0.0	73.1	301.2	This study	-33	Sedimentary	Sediment Layer	0.0	Sandstone	SO-CMD-NORTH	BRb.52	BRb
175.8	0.0	73.1	301.2	This study	-25	Sedimentary	Sediment Layer	83.76	Sandstone	SO-CMD-NORTH	BRb.53	BRb
128.8	0.0	73.1	301.2	This study	-28	Sedimentary	Sediment Layer	85.66	Sandstone	SO-CMD-NORTH	BRb.54	BRb
175.8	0.0	73.1	301.2	This study	-21	Sedimentary	Sediment Layer	85.66	Sandstone	SO-CMD-NORTH	BRb.55	BRb
212.8	0.0	73.1	301.2	This study	-29	Sedimentary	Sediment Layer	93.61	Sandstone	SO-CMD-NORTH	BRb.56	BRb
208.8	0.0	73.1	301.2	This study	-44	Sedimentary	Sediment Layer	94.25	Sandstone	SO-CMD-NORTH	BRb.57	BRb
230.8	0.0	73.1	301.2	This study	-34	Sedimentary	Sediment Layer	94.97	Sandstone	SO-CMD-NORTH	BRb.58	BRb
69.3	0.0	73.1	301.2	This study	-23	Sedimentary	Sediment Layer	1.68	Sandstone	SO-CMD-NORTH	BRc.1a	BRc
167.8	0.0	73.1	301.2	This study	-25	Sedimentary	Sediment Layer	2.62	Sandstone	SO-CMD-NORTH	BRc.2a	BRc
33.8	0.0	73.1	301.2	This study	-34	Sedimentary	Sediment Layer	4.0	Sandstone	SO-CMD-NORTH	BRc.3a	BRc
60.0	0.0	73.1	301.2	This study	-31	Sedimentary	Sediment Layer	5.11	Sandstone	SO-CMD-NORTH	BRc.4a	BRc
88.5	0.0	73.1	301.2	This study	-15	Sedimentary	Sediment Layer	7.51	Sandstone	SO-CMD-NORTH	BRc.7a	BRc
110.9	0.0	73.1	301.2	This study	-32	Sedimentary	Sediment Layer	12.81	Sandstone	SO-CMD-NORTH	BRc.10a	BRc
61.3	0.0	73.1	301.2	This study	-43	Sedimentary	Sediment Layer	13.27	Sandstone	SO-CMD-NORTH	BRc.11a	BRc
12.8	0.0	73.1	301.2	This study	-57	Sedimentary	Sediment Layer	13.81	Sandstone	SO-CMD-NORTH	BRc.12a	BRc
39.0	0.0	73.1	301.2	This study	-131	Sedimentary	Sediment Layer	14.38	Sandstone	SO-CMD-NORTH	BRc.13a	BRc
72.9	0.0	73.1	301.2	This study	-50	Sedimentary	Sediment Layer	15.8	Sandstone	SO-CMD-NORTH	BRc.15a	BRc
6.6	0.0	73.1	301.2	This study	-46	Sedimentary	Sediment Layer	16.87	Sandstone	SO-CMD-NORTH	BRc.18a	BRc
59.8	0.0	73.1	301.2	This study	-39	Sedimentary	Sediment Layer	18.85	Sandstone	SO-CMD-NORTH	BRc.19a	BRc
30.8	0.0	73.1	301.2	This study	-47	Sedimentary	Sediment Layer	22.32	Sandstone	SO-CMD-NORTH	BRc.22a	BRc
22.8	0.0	73.1	301.2	This study	-15	Sedimentary	Sediment Layer	26.16	Sandstone	SO-CMD-NORTH	BRc.27a	BRc
