tab	specimens
specimen	experiments	sample	dir_alpha95	dir_comp	dir_dec	dir_inc	dir_n_comps	dir_n_measurements	dir_tilt_correction	dir_dang	dir_mad_free	meas_step_max	meas_step_min	meas_step_unit	analysts	instrument_codes	software_packages	int_corr	citations	method_codes	result_quality	weight	location	site
PF18-141a	PF18-141a_LP-DIR-T	PF18-141		mt	207.1	48.5	2	8	0	0.9	1.0	853	748	K		hargrave 2021-06-03 14:50:06	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g		Potato River Falls	PF18-141
PF18-141a	PF18-141a_LP-DIR-T	PF18-141		hdt	195.5	41.6	2	12	0	0.0	6.3	969	913	K		hargrave 2021-06-03 14:50:06	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-GEO	g		Potato River Falls	PF18-141
PF18-141a		PF18-141																	This study			0.00885	Potato River Falls	PF18-141
PF18-141a	PF18-141a_LP-DIR-T	PF18-141		hdt	265.7	24.9	2	12	100	0.0	6.3	969	913	K		hargrave 2021-06-03 14:50:06	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g		Potato River Falls	PF18-141
PF18-141a	PF18-141a_LP-DIR-T	PF18-141		mt	271.3	15.6	2	8	100	0.9	1.0	853	748	K		hargrave 2021-06-03 14:50:06	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT	g		Potato River Falls	PF18-141
PF18-141a	PF18-141a_LP-DIR-T	PF18-141		hdt	310.4	65.4	2	12	-1	0.0	6.3	969	913	K		hargrave 2021-06-03 14:50:06	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR	g		Potato River Falls	PF18-141
PF18-141a	PF18-141a_LP-DIR-T	PF18-141		mt	322.3	75.4	2	8	-1	0.9	1.0	853	748	K		hargrave 2021-06-03 14:50:06	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR	g		Potato River Falls	PF18-141
PF18-142a		PF18-142																	This study			0.01114	Potato River Falls	PF18-142
PF18-142a	PF18-142a_LP-DIR-T	PF18-142		mt	270.6	3.6	2	8	100	2.9	4.9	853	748	K		hargrave 2021-06-03 14:51:32	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT	g		Potato River Falls	PF18-142
PF18-142a	PF18-142a_LP-DIR-T	PF18-142		hdt	265.6	3.0	2	7	100	0.0	10.2	947	913	K		hargrave 2021-06-03 14:51:32	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g		Potato River Falls	PF18-142
PF18-142a	PF18-142a_LP-DIR-T	PF18-142		hdt	225.2	42.8	2	7	0	0.0	10.2	947	913	K		hargrave 2021-06-03 14:51:32	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-GEO	g		Potato River Falls	PF18-142
PF18-142a	PF18-142a_LP-DIR-T	PF18-142		mt	185.6	25.0	2	8	-1	2.9	4.9	853	748	K		hargrave 2021-06-03 14:51:32	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR	g		Potato River Falls	PF18-142
PF18-142a	PF18-142a_LP-DIR-T	PF18-142		hdt	185.9	20.0	2	7	-1	0.0	10.2	947	913	K		hargrave 2021-06-03 14:51:32	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR	g		Potato River Falls	PF18-142
PF18-142a	PF18-142a_LP-DIR-T	PF18-142		mt	225.2	47.9	2	8	0	2.9	4.9	853	748	K		hargrave 2021-06-03 14:51:32	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g		Potato River Falls	PF18-142
PF18-143a		PF18-143																	This study			0.011290000000000001	Potato River Falls	PF18-143
PF18-143a	PF18-143a_LP-DIR-T	PF18-143		mt	266.8	10.9	2	6	100	5.6	3.4	853	793	K		hargrave 2021-06-03 14:53:03	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT	g		Potato River Falls	PF18-143
PF18-143a	PF18-143a_LP-DIR-T	PF18-143		hdt	259.6	16.4	2	13	100	0.0	6.5	969	903	K		hargrave 2021-06-03 14:53:03	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g		Potato River Falls	PF18-143
PF18-143a	PF18-143a_LP-DIR-T	PF18-143		mt	170.2	16.0	2	6	-1	5.6	3.4	853	793	K		hargrave 2021-06-03 14:53:03	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR	g		Potato River Falls	PF18-143
PF18-143a	PF18-143a_LP-DIR-T	PF18-143		hdt	207.5	37.2	2	13	0	0.0	6.5	969	903	K		hargrave 2021-06-03 14:53:03	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-GEO	g		Potato River Falls	PF18-143
PF18-143a	PF18-143a_LP-DIR-T	PF18-143		hdt	163.9	9.6	2	13	-1	0.0	6.5	969	903	K		hargrave 2021-06-03 14:53:03	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR	g		Potato River Falls	PF18-143
PF18-143a	PF18-143a_LP-DIR-T	PF18-143		mt	214.3	44.4	2	6	0	5.6	3.4	853	793	K		hargrave 2021-06-03 14:53:03	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g		Potato River Falls	PF18-143
PF18-144a		PF18-144																	This study			0.01383	Potato River Falls	PF18-144
PF18-144a	PF18-144a_LP-DIR-T	PF18-144		hdt	257.2	16.5	2	14	100	0.0	7.5	969	893	K		hargrave 2021-06-03 14:54:33	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g		Potato River Falls	PF18-144
PF18-144a	PF18-144a_LP-DIR-T	PF18-144		hdt	207.5	34.9	2	14	0	0.0	7.5	969	893	K		hargrave 2021-06-03 14:54:33	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-GEO	g		Potato River Falls	PF18-144
PF18-144a	PF18-144a_LP-DIR-T	PF18-144		mt	215.3	44.3	2	8	0	2.4	4.9	863	773	K		hargrave 2021-06-03 14:54:33	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g		Potato River Falls	PF18-144
PF18-144a	PF18-144a_LP-DIR-T	PF18-144		hdt	169.9	12.4	2	14	-1	0.0	7.5	969	893	K		hargrave 2021-06-03 14:54:33	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR	g		Potato River Falls	PF18-144
PF18-144a	PF18-144a_LP-DIR-T	PF18-144		mt	176.7	21.3	2	8	-1	2.4	4.9	863	773	K		hargrave 2021-06-03 14:54:33	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR	g		Potato River Falls	PF18-144
PF18-144a	PF18-144a_LP-DIR-T	PF18-144		mt	266.6	10.3	2	8	100	2.4	4.9	863	773	K		hargrave 2021-06-03 14:54:33	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT	g		Potato River Falls	PF18-144
PF18-145a		PF18-145																	This study			0.013080000000000001	Potato River Falls	PF18-145
PF18-145a	PF18-145a_LP-DIR-T	PF18-145		hdt	162.4	11.0	2	11	-1	0.0	2.9	969	923	K		hargrave 2021-06-03 14:56:00	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR	g		Potato River Falls	PF18-145
PF18-145a	PF18-145a_LP-DIR-T	PF18-145		hdt	215.7	37.4	2	11	0	0.0	2.9	969	923	K		hargrave 2021-06-03 14:56:00	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-GEO	g		Potato River Falls	PF18-145
PF18-145a	PF18-145a_LP-DIR-T	PF18-145		mt	225.6	45.0	2	7	0	0.9	11.7	863	793	K		hargrave 2021-06-03 14:56:00	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g		Potato River Falls	PF18-145
PF18-145a	PF18-145a_LP-DIR-T	PF18-145		hdt	259.6	9.9	2	11	100	0.0	2.9	969	923	K		hargrave 2021-06-03 14:56:00	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g		Potato River Falls	PF18-145
PF18-145a	PF18-145a_LP-DIR-T	PF18-145		mt	267.8	3.0	2	7	100	0.9	11.7	863	793	K		hargrave 2021-06-03 14:56:00	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT	g		Potato River Falls	PF18-145
PF18-145a	PF18-145a_LP-DIR-T	PF18-145		mt	171.1	17.4	2	7	-1	0.9	11.7	863	793	K		hargrave 2021-06-03 14:56:00	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR	g		Potato River Falls	PF18-145
PF18-146a	PF18-146a_LP-DIR-T	PF18-146		hdt	259.6	34.0	1	9	100	0.0	2.7	969	937	K		hargrave 2021-06-03 14:58:17	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g		Potato River Falls	PF18-146
PF18-146a	PF18-146a_LP-DIR-T	PF18-146		hdt	186.1	34.1	1	9	0	0.0	2.7	969	937	K		hargrave 2021-06-03 14:58:17	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-GEO	g		Potato River Falls	PF18-146
PF18-146a	PF18-146a_LP-DIR-T	PF18-146		hdt	224.4	25.9	1	9	-1	0.0	2.7	969	937	K		hargrave 2021-06-03 14:58:17	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR	g		Potato River Falls	PF18-146
PF18-146a		PF18-146																	This study			0.01031	Potato River Falls	PF18-146
PF18-147a	PF18-147a_LP-DIR-T	PF18-147		hdt	172.6	14.6	2	12	-1	0.0	5.1	969	913	K		hargrave 2021-06-03 14:59:48	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR	g		Potato River Falls	PF18-147
PF18-147a	PF18-147a_LP-DIR-T	PF18-147		mt	161.7	14.0	2	4	-1	9.0	11.8	863	833	K		hargrave 2021-06-03 14:59:48	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR	g		Potato River Falls	PF18-147
PF18-147a	PF18-147a_LP-DIR-T	PF18-147		hdt	274.6	9.7	2	12	100	0.0	5.1	969	913	K		hargrave 2021-06-03 14:59:48	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g		Potato River Falls	PF18-147
PF18-147a		PF18-147																	This study			0.013069999999999998	Potato River Falls	PF18-147
PF18-147a	PF18-147a_LP-DIR-T	PF18-147		mt	273.0	20.2	2	4	100	9.0	11.8	863	833	K		hargrave 2021-06-03 14:59:48	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT	g		Potato River Falls	PF18-147
PF18-147a	PF18-147a_LP-DIR-T	PF18-147		mt	199.8	49.2	2	4	0	9.0	11.8	863	833	K		hargrave 2021-06-03 14:59:48	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g		Potato River Falls	PF18-147
PF18-147a	PF18-147a_LP-DIR-T	PF18-147		hdt	215.9	52.1	2	12	0	0.0	5.1	969	913	K		hargrave 2021-06-03 14:59:48	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-GEO	g		Potato River Falls	PF18-147
PF18-148a	PF18-148a_LP-DIR-T	PF18-148		mt	224.2	47.8	2	5	0	1.9	13.8	863	823	K		hargrave 2021-06-03 15:01:32	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g		Potato River Falls	PF18-148
PF18-148a	PF18-148a_LP-DIR-T	PF18-148		mt	196.4	28.8	2	5	-1	1.9	13.8	863	823	K		hargrave 2021-06-03 15:01:32	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR	g		Potato River Falls	PF18-148
PF18-148a	PF18-148a_LP-DIR-T	PF18-148		hdt	196.8	26.6	2	12	-1	0.0	7.2	969	913	K		hargrave 2021-06-03 15:01:32	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR	g		Potato River Falls	PF18-148
PF18-148a	PF18-148a_LP-DIR-T	PF18-148		hdt	224.2	45.5	2	12	0	0.0	7.2	969	913	K		hargrave 2021-06-03 15:01:32	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-GEO	g		Potato River Falls	PF18-148
PF18-148a		PF18-148																	This study			0.00656	Potato River Falls	PF18-148
PF18-148a	PF18-148a_LP-DIR-T	PF18-148		hdt	268.2	4.0	2	12	100	0.0	7.2	969	913	K		hargrave 2021-06-03 15:01:32	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g		Potato River Falls	PF18-148
PF18-148a	PF18-148a_LP-DIR-T	PF18-148		mt	270.5	4.3	2	5	100	1.9	13.8	863	823	K		hargrave 2021-06-03 15:01:32	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT	g		Potato River Falls	PF18-148
PF18-149a	PF18-149a_LP-DIR-T	PF18-149		hdt	226.9	7.8	2	10	-1	0.0	5.5	955	913	K		hargrave 2021-06-03 15:04:18	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR	g		Potato River Falls	PF18-149
PF18-149a	PF18-149a_LP-DIR-T	PF18-149		mt	227.5	36.2	2	6	0	1.3	9.8	863	808	K		hargrave 2021-06-03 15:04:18	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g		Potato River Falls	PF18-149
PF18-149a	PF18-149a_LP-DIR-T	PF18-149		mt	222.5	15.1	2	6	-1	1.3	9.8	863	808	K		hargrave 2021-06-03 15:04:18	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR	g		Potato River Falls	PF18-149
PF18-149a	PF18-149a_LP-DIR-T	PF18-149		hdt	228.4	27.7	2	10	0	0.0	5.5	955	913	K		hargrave 2021-06-03 15:04:18	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-GEO	g		Potato River Falls	PF18-149
PF18-149a	PF18-149a_LP-DIR-T	PF18-149		mt	259.2	0.4	2	6	100	1.3	9.8	863	808	K		hargrave 2021-06-03 15:04:18	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT	g		Potato River Falls	PF18-149
PF18-149a		PF18-149																	This study			0.01206	Potato River Falls	PF18-149
PF18-149a	PF18-149a_LP-DIR-T	PF18-149		hdt	251.0	-1.6	2	10	100	0.0	5.5	955	913	K		hargrave 2021-06-03 15:04:18	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g		Potato River Falls	PF18-149
PF18-14a		PF18-14																	This study			0.0056700000000000006	Potato River Falls	PF18-14
PF18-14a	PF18-14a_LP-DIR-T	PF18-14		hdt	283.1	1.1	2	12	100	0.0	2.6	968	945	K		hargrave 2021-06-10 13:45:37	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g		Potato River Falls	PF18-14
PF18-14a	PF18-14a_LP-DIR-T	PF18-14		lt	319.4	-2.7	2	3	100	17.5	1.9	423	323	K		hargrave 2021-06-10 13:45:37	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT	g		Potato River Falls	PF18-14
PF18-14a	PF18-14a_LP-DIR-T	PF18-14		hdt	234.9	60.8	2	12	0	0.0	2.6	968	945	K		hargrave 2021-06-10 13:45:37	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-GEO	g		Potato River Falls	PF18-14
PF18-14a	PF18-14a_LP-DIR-T	PF18-14		lt	346.9	76.2	2	3	0	17.5	1.9	423	323	K		hargrave 2021-06-10 13:45:37	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g		Potato River Falls	PF18-14
PF18-14a	PF18-14a_LP-DIR-T	PF18-14		hdt	187.9	35.2	2	12	-1	0.0	2.6	968	945	K		hargrave 2021-06-10 13:45:37	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR	g		Potato River Falls	PF18-14
PF18-14a	PF18-14a_LP-DIR-T	PF18-14		lt	212.8	68.9	2	3	-1	17.5	1.9	423	323	K		hargrave 2021-06-10 13:45:37	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR	g		Potato River Falls	PF18-14
PF18-150a		PF18-150																	This study			0.01226	Potato River Falls	PF18-150
PF18-150a	PF18-150a_LP-DIR-T	PF18-150		hdt	247.8	-0.4	1	10	100	0.0	5.2	969	933	K		hargrave 2021-06-03 15:05:46	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g		Potato River Falls	PF18-150
PF18-150a	PF18-150a_LP-DIR-T	PF18-150		hdt	226.5	24.7	1	10	0	0.0	5.2	969	933	K		hargrave 2021-06-03 15:05:46	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-GEO	g		Potato River Falls	PF18-150
PF18-150a	PF18-150a_LP-DIR-T	PF18-150		hdt	155.5	-4.2	1	10	-1	0.0	5.2	969	933	K		hargrave 2021-06-03 15:05:46	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR	g		Potato River Falls	PF18-150
PF18-151a		PF18-151																	This study			0.0133	Potato River Falls	PF18-151
PF18-151a	PF18-151a_LP-DIR-T	PF18-151		hdt	228.7	35.2	2	10	0	0.0	5.7	969	913	K		hargrave 2021-06-03 15:07:16	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-GEO	g		Potato River Falls	PF18-151
PF18-151a	PF18-151a_LP-DIR-T	PF18-151		hdt	185.8	-1.6	2	10	-1	0.0	5.7	969	913	K		hargrave 2021-06-03 15:07:16	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR	g		Potato River Falls	PF18-151
PF18-151a	PF18-151a_LP-DIR-T	PF18-151		mt	192.5	3.4	2	5	-1	4.9	9.5	873	833	K		hargrave 2021-06-03 15:07:16	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR	g		Potato River Falls	PF18-151
PF18-151a	PF18-151a_LP-DIR-T	PF18-151		mt	237.8	39.4	2	5	0	4.9	9.5	873	833	K		hargrave 2021-06-03 15:07:16	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g		Potato River Falls	PF18-151
PF18-151a	PF18-151a_LP-DIR-T	PF18-151		hdt	258.4	-0.8	2	10	100	0.0	5.7	969	913	K		hargrave 2021-06-03 15:07:16	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g		Potato River Falls	PF18-151
PF18-151a	PF18-151a_LP-DIR-T	PF18-151		mt	264.0	-7.0	2	5	100	4.9	9.5	873	833	K		hargrave 2021-06-03 15:07:16	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT	g		Potato River Falls	PF18-151
PF18-152a	PF18-152a_LP-DIR-T	PF18-152		mht	272.7	61.4	1	16	-1	2.5	4.1	903	648	K		hargrave 2021-06-03 15:08:52	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR	g		Potato River Falls	PF18-152
PF18-152a	PF18-152a_LP-DIR-T	PF18-152		mht	266.8	50.5	1	16	0	2.5	4.1	903	648	K		hargrave 2021-06-03 15:08:52	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g		Potato River Falls	PF18-152
PF18-152a	PF18-152a_LP-DIR-T	PF18-152		mht	283.6	-20.1	1	16	100	2.5	4.1	903	648	K		hargrave 2021-06-03 15:08:52	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT	g		Potato River Falls	PF18-152
PF18-152a		PF18-152																	This study			0.011770000000000001	Potato River Falls	PF18-152
PF18-153a		PF18-153																	This study			0.01299	Potato River Falls	PF18-153
PF18-153a	PF18-153a_LP-DIR-T	PF18-153		mht	278.8	-20.2	1	15	100	6.4	3.9	883	623	K		hargrave 2021-06-03 15:10:28	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT	g		Potato River Falls	PF18-153
PF18-153a	PF18-153a_LP-DIR-T	PF18-153		mht	196.3	18.5	1	15	-1	6.4	3.9	883	623	K		hargrave 2021-06-03 15:10:28	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR	g		Potato River Falls	PF18-153
PF18-153a	PF18-153a_LP-DIR-T	PF18-153		mht	262.5	46.9	1	15	0	6.4	3.9	883	623	K		hargrave 2021-06-03 15:10:28	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g		Potato River Falls	PF18-153
PF18-154a	PF18-154a_LP-DIR-T	PF18-154		mht	190.7	19.0	1	17	-1	0.4	2.1	893	598	K		hargrave 2021-06-03 15:12:03	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR	g		Potato River Falls	PF18-154
PF18-154a	PF18-154a_LP-DIR-T	PF18-154		mht	270.0	45.3	1	17	0	0.4	2.1	893	598	K		hargrave 2021-06-03 15:12:03	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g		Potato River Falls	PF18-154
PF18-154a	PF18-154a_LP-DIR-T	PF18-154		mht	281.0	-25.2	1	17	100	0.4	2.1	893	598	K		hargrave 2021-06-03 15:12:03	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT	g		Potato River Falls	PF18-154
PF18-154a		PF18-154																	This study			0.01372	Potato River Falls	PF18-154
PF18-155a		PF18-155																	This study			0.01445	Potato River Falls	PF18-155
PF18-155a	PF18-155a_LP-DIR-T	PF18-155		mht	283.2	-25.6	2	15	100	4.3	3.3	893	648	K		hargrave 2021-06-03 15:13:33	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT	g		Potato River Falls	PF18-155
PF18-155a	PF18-155a_LP-DIR-T	PF18-155		lt	217.4	64.8	2	4	-1	31.3	3.6	523	373	K		hargrave 2021-06-03 15:13:33	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR	g		Potato River Falls	PF18-155
PF18-155a	PF18-155a_LP-DIR-T	PF18-155		mht	272.4	46.6	2	15	0	4.3	3.3	893	648	K		hargrave 2021-06-03 15:13:33	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g		Potato River Falls	PF18-155
PF18-155a	PF18-155a_LP-DIR-T	PF18-155		lt	8.7	69.3	2	4	0	31.3	3.6	523	373	K		hargrave 2021-06-03 15:13:33	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g		Potato River Falls	PF18-155
PF18-155a	PF18-155a_LP-DIR-T	PF18-155		mht	205.4	16.2	2	15	-1	4.3	3.3	893	648	K		hargrave 2021-06-03 15:13:33	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR	g		Potato River Falls	PF18-155
PF18-155a	PF18-155a_LP-DIR-T	PF18-155		lt	329.9	-4.8	2	4	100	31.3	3.6	523	373	K		hargrave 2021-06-03 15:13:33	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT	g		Potato River Falls	PF18-155
PF18-156a	PF18-156a_LP-DIR-T	PF18-156		lt	274.9	66.1	2	4	-1	44.3	7.7	523	373	K		hargrave 2021-06-03 15:15:01	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR	g		Potato River Falls	PF18-156
PF18-156a	PF18-156a_LP-DIR-T	PF18-156		lt	347.1	-8.9	2	4	100	44.3	7.7	523	373	K		hargrave 2021-06-03 15:15:01	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT	g		Potato River Falls	PF18-156
PF18-156a	PF18-156a_LP-DIR-T	PF18-156		mht	280.4	-26.8	2	14	100	3.3	3.8	903	723	K		hargrave 2021-06-03 15:15:01	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT	g		Potato River Falls	PF18-156
PF18-156a		PF18-156																	This study			0.01374	Potato River Falls	PF18-156
PF18-156a	PF18-156a_LP-DIR-T	PF18-156		mht	203.5	18.9	2	14	-1	3.3	3.8	903	723	K		hargrave 2021-06-03 15:15:01	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR	g		Potato River Falls	PF18-156
PF18-156a	PF18-156a_LP-DIR-T	PF18-156		lt	18.3	52.3	2	4	0	44.3	7.7	523	373	K		hargrave 2021-06-03 15:15:01	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g		Potato River Falls	PF18-156
PF18-156a	PF18-156a_LP-DIR-T	PF18-156		mht	271.2	43.9	2	14	0	3.3	3.8	903	723	K		hargrave 2021-06-03 15:15:01	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g		Potato River Falls	PF18-156
PF18-157a	PF18-157a_LP-DIR-T	PF18-157		mht	208.1	30.0	1	16	-1	5.7	3.9	903	648	K		hargrave 2021-06-03 15:16:32	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR	g		Potato River Falls	PF18-157
PF18-157a		PF18-157																	This study			0.013369999999999998	Potato River Falls	PF18-157
PF18-157a	PF18-157a_LP-DIR-T	PF18-157		mht	278.5	-25.1	1	16	100	5.7	3.9	903	648	K		hargrave 2021-06-03 15:16:32	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT	g		Potato River Falls	PF18-157
PF18-157a	PF18-157a_LP-DIR-T	PF18-157		mht	267.9	43.7	1	16	0	5.7	3.9	903	648	K		hargrave 2021-06-03 15:16:32	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g		Potato River Falls	PF18-157
